ALDM_Entity,ALDM_Attribute,ALDM_DataType,ALDM_Description,MySQL_Table,MySQL_Column,MySQL_DataType,MySQL_Description,Mapping_Type,Mapping_Notes
PartyMatchRule,created_by,string,"User who created this rule",party_match_rule,created_by,VARCHAR(100),"User who created this rule",Direct,"Exact mapping with MySQL VARCHAR type"
PartyMatchRule,updated_by,string,"User who last updated this rule",party_match_rule,updated_by,VARCHAR(100),"User who last updated this rule",Direct,"Exact mapping with MySQL VARCHAR type"
PartyAuditLog,audit_id,string,"Unique identifier for this audit record",party_audit_log,audit_id,BIGINT,"Unique identifier for this audit record",Direct,"ALDM string mapped to MySQL BIGINT with auto-increment"
PartyAuditLog,party_id,string,"ID of the party being audited",party_audit_log,party_id,VARCHAR(36),"ID of the party being audited",Direct,"Primary key mapping with UUID implementation"
PartyAuditLog,entity_name,string,"Name of the entity being audited",party_audit_log,entity_name,VARCHAR(100),"Name of the entity being audited",Direct,"Exact mapping with MySQL VARCHAR type"
PartyAuditLog,action,string,"Action performed on the entity",party_audit_log,action,ENUM('Create', 'Update', 'Delete', 'Merge', 'Split', 'Link', 'Unlink'),"Action performed on the entity",Direct,"ALDM string mapped to MySQL ENUM for data validation"
PartyAuditLog,action_date,datetime,"Date and time when the action was performed",party_audit_log,action_date,DATETIME,"Date and time when the action was performed",Direct,"ALDM datetime mapped to MySQL DATETIME"
PartyAuditLog,user_id,string,"ID of the user who performed the action",party_audit_log,user_id,VARCHAR(100),"ID of the user who performed the action",Direct,"Exact mapping with MySQL VARCHAR type"
PartyAuditLog,ip_address,string,"IP address from which the action was performed",party_audit_log,ip_address,VARCHAR(45),"IP address from which the action was performed",Direct,"Exact mapping with MySQL VARCHAR type"
PartyAuditLog,old_values,json,"JSON representation of the old values",party_audit_log,old_values,JSON,"JSON representation of the old values",Direct,"Exact mapping with MySQL JSON type"
PartyAuditLog,new_values,json,"JSON representation of the new values",party_audit_log,new_values,JSON,"JSON representation of the new values",Direct,"Exact mapping with MySQL JSON type"
PartyAuditLog,change_reason,string,"Reason for the change",party_audit_log,change_reason,TEXT,"Reason for the change",Direct,"ALDM string mapped to MySQL TEXT for longer descriptions"
PartyAuditLog,source_system,string,"System from which the change originated",party_audit_log,source_system,VARCHAR(100),"System from which the change originated",Direct,"Exact mapping with MySQL VARCHAR type"
PartyDataQuality,data_quality_id,string,"Unique identifier for this data quality record",party_data_quality,data_quality_id,BIGINT,"Unique identifier for this data quality record",Direct,"ALDM string mapped to MySQL BIGINT with auto-increment"
PartyDataQuality,party_id,string,"ID of the party being assessed",party_data_quality,party_id,VARCHAR(36),"ID of the party being assessed",Direct,"Primary key mapping with UUID implementation"
PartyDataQuality,assessment_date,datetime,"Date and time when the assessment was performed",party_data_quality,assessment_date,DATETIME,"Date and time when the assessment was performed",Direct,"ALDM datetime mapped to MySQL DATETIME"
PartyDataQuality,completeness_score,decimal,"Score for data completeness (0-100)",party_data_quality,completeness_score,DECIMAL(5,2),"Score for data completeness (0-100)",Direct,"Exact mapping with MySQL DECIMAL type"
PartyDataQuality,accuracy_score,decimal,"Score for data accuracy (0-100)",party_data_quality,accuracy_score,DECIMAL(5,2),"Score for data accuracy (0-100)",Direct,"Exact mapping with MySQL DECIMAL type"
PartyDataQuality,consistency_score,decimal,"Score for data consistency (0-100)",party_data_quality,consistency_score,DECIMAL(5,2),"Score for data consistency (0-100)",Direct,"Exact mapping with MySQL DECIMAL type"
PartyDataQuality,timeliness_score,decimal,"Score for data timeliness (0-100)",party_data_quality,timeliness_score,DECIMAL(5,2),"Score for data timeliness (0-100)",Direct,"Exact mapping with MySQL DECIMAL type"
PartyDataQuality,uniqueness_score,decimal,"Score for data uniqueness (0-100)",party_data_quality,uniqueness_score,DECIMAL(5,2),"Score for data uniqueness (0-100)",Direct,"Exact mapping with MySQL DECIMAL type"
PartyDataQuality,overall_score,decimal,"Overall data quality score (0-100)",party_data_quality,overall_score,DECIMAL(5,2),"Overall data quality score (0-100)",Direct,"Exact mapping with MySQL DECIMAL type"
PartyDataQuality,issues_found,json,"JSON representation of data quality issues found",party_data_quality,issues_found,JSON,"JSON representation of data quality issues found",Direct,"Exact mapping with MySQL JSON type"
PartyDataQuality,improvement_suggestions,json,"JSON representation of suggestions for improvement",party_data_quality,improvement_suggestions,JSON,"JSON representation of suggestions for improvement",Direct,"Exact mapping with MySQL JSON type"
PartyDataQuality,created_at,datetime,"Date and time when this record was created",party_data_quality,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyDataQuality,created_by,string,"User or system that created this record",party_data_quality,created_by,VARCHAR(100),"User or system that created this record",Direct,"Exact mapping with MySQL VARCHAR type" 
